Product Name,Category,Sub-category,Company,Retail Price,Consumer Price,Bulk Price,Bulk Limit,imageUrl,imageUrl
Gold Leaf Classic,Nicotine Hub,Cigarettes,PTC,520,490,488,5,https://admin.dealcart.io/products/medium-1709075649317-John%20Player%20Gold%20Leaf%20Classic..webp,https://admin.dealcart.io/products/medium-1709075649317-John%20Player%20Gold%20Leaf%20Classic..webp
Capstan by PallMall,Nicotine Hub,Cigarettes,PTC,260,230,228,5,,
Capstan International,Nicotine Hub,Cigarettes,PTC,220,190,189,5,https://admin.dealcart.io/products/medium-1758800321561-Capstan%20International..webp,https://admin.dealcart.io/products/medium-1758800321561-Capstan%20International..webp
Capstan Filter,Nicotine Hub,Cigarettes,PTC,280,240,238,5,https://admin.dealcart.io/products/medium-1709889445377-Capstan%20Filter%2020HL-1..webp,https://admin.dealcart.io/products/medium-1709889445377-Capstan%20Filter%2020HL-1..webp
Jhon Player,Nicotine Hub,Cigarettes,PTC,280,240,238,5,https://admin.dealcart.io/products/medium-1709075273867-John%20Player..webp,https://admin.dealcart.io/products/medium-1709075273867-John%20Player..webp
Dunhill Lights,Nicotine Hub,Cigarettes,PTC,650,580,578,5,https://admin.dealcart.io/products/medium-1709063882442-Dunhill%20Lights%20%281%29..webp,https://admin.dealcart.io/products/medium-1709063882442-Dunhill%20Lights%20%281%29..webp
Dunhill Special,Nicotine Hub,Cigarettes,PTC,650,580,578,5,https://admin.dealcart.io/products/medium-1709064777110-Dunhill%20Special..webp,https://admin.dealcart.io/products/medium-1709064777110-Dunhill%20Special..webp
Benson & Hedges Special filter,Nicotine Hub,Cigarettes,PTC,320,280,275,5,https://admin.dealcart.io/products/medium-1758103440544-Untitled%20design%20%2813%29_11zon..webp,https://admin.dealcart.io/products/medium-1758103440544-Untitled%20design%20%2813%29_11zon..webp
GoldFlake by Rothamans,Nicotine Hub,Cigarettes,PTC,270,230,229,5,https://admin.dealcart.io/products/medium-1709074013715-Gold%20Flake%20by%20Rothmans..webp,https://admin.dealcart.io/products/medium-1709074013715-Gold%20Flake%20by%20Rothmans..webp
Velo Polar Mint 10mg 3 Dot,Nicotine Hub,Nicotine pouch,PTC,1250,1000,950,,https://admin.dealcart.io/products/medium-1709132759328-Category%20Tile%20Grid-2..webp,https://admin.dealcart.io/products/medium-1709132759328-Category%20Tile%20Grid-2..webp
Velo Berry Frost 10mg 3 Dot,Nicotine Hub,Nicotine pouch,PTC,1250,1000,950,,https://admin.dealcart.io/products/medium-1758800781049-Velo%20Wintry%20Watermelon%2010%20mg..webp,https://admin.dealcart.io/products/medium-1758800781049-Velo%20Wintry%20Watermelon%2010%20mg..webp
Velo Polar Mint 14mg 5 Dot,Nicotine Hub,Nicotine pouch,PTC,1400,1250,1200,,https://admin.dealcart.io/products/medium-1709132759328-Category%20Tile%20Grid-2..webp,https://admin.dealcart.io/products/medium-1709132759328-Category%20Tile%20Grid-2..webp
Velo Berry Frost 14mg 5 Dot,Nicotine Hub,Nicotine pouch,PTC,1400,1250,1200,,https://admin.dealcart.io/products/medium-1758800781049-Velo%20Wintry%20Watermelon%2010%20mg..webp,https://admin.dealcart.io/products/medium-1758800781049-Velo%20Wintry%20Watermelon%2010%20mg..webp
Asmat Khan Khujoor,Nicotine Hub,Nicotine pouch,ATP (Asmat),360,280,280,,https://admin.dealcart.io/products/medium-1733297589139-Chuwara%2050g_3x..webp,https://admin.dealcart.io/products/medium-1733297589139-Chuwara%2050g_3x..webp
TATA Filter Tabbaq,Nicotine Hub,Nicotine pouch,ATP (Asmat),800,470,460,,https://admin.dealcart.io/products/medium-1753878985942-USB%20Beeds%20Bracelet%20Data%20Cable%20For%20Android-3..webp,https://admin.dealcart.io/products/medium-1753878985942-USB%20Beeds%20Bracelet%20Data%20Cable%20For%20Android-3..webp
Asmat 555,Nicotine Hub,Nicotine pouch,ATP (Asmat),240,190,190,,,
Asmat A1,Nicotine Hub,Nicotine pouch,ATP (Asmat),360,280,270,,https://admin.dealcart.io/products/medium-1719999068765-Biboshi%20A11%20Data%20Cable%20%28IPhone%29..webp,https://admin.dealcart.io/products/medium-1719999068765-Biboshi%20A11%20Data%20Cable%20%28IPhone%29..webp
Morven Classic,Nicotine Hub,Cigarettes,Philip Moris,280,240,234,5,https://admin.dealcart.io/products/medium-1744209518576-Cigarettes%20-%20Cover..webp,https://admin.dealcart.io/products/medium-1744209518576-Cigarettes%20-%20Cover..webp
Marlboro Gold,Nicotine Hub,Cigarettes,Philip Moris,600,545,540,5,https://admin.dealcart.io/products/medium-1744209378302-Cigarettes%20-%20Cover..webp,https://admin.dealcart.io/products/medium-1744209378302-Cigarettes%20-%20Cover..webp
Crafted by Marlboro,Nicotine Hub,Cigarettes,Philip Moris,170,155,148,5,https://admin.dealcart.io/products/medium-1744353017041-Cigarettes%20-%20Cover..webp,https://admin.dealcart.io/products/medium-1744353017041-Cigarettes%20-%20Cover..webp
Kissan,Nicotine Hub,Cigarettes,GoldStreet,220,170,165,5,https://admin.dealcart.io/products/medium-1717747558788-OGKN0058..webp,https://admin.dealcart.io/products/medium-1717747558788-OGKN0058..webp
Classic Ciggerete,Nicotine Hub,Cigarettes,GoldStreet,240,190,185,5,https://admin.dealcart.io/products/medium-1754910900293-Black%20Champion%20Classic%20Backpack-2_6_11zon..webp,https://admin.dealcart.io/products/medium-1754910900293-Black%20Champion%20Classic%20Backpack-2_6_11zon..webp
Lighter 50 pcs Box,Flammables,Flammables,Flammables,2000,1080,1020,,https://admin.dealcart.io/31_store_Thu%20Aug%2028%202025%2011%3A53%3A56%20GMT%2B0000%20%28Coordinated%20Universal%20Time%29,https://admin.dealcart.io/31_store_Thu%20Aug%2028%202025%2011%3A53%3A56%20GMT%2B0000%20%28Coordinated%20Universal%20Time%29
